	type	path	format	name	id	match_type	object
0	Device	windows\device\Group Policy\Any Removable Storage and CD-DVD and WPD Group.xml	gpo	Any Removable Storage and CD-DVD and WPD Group_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Any Removable Storage and CD-DVD and WPD Group_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
1	Device	windows\device\Group Policy\Approved USBs Group.xml	gpo	Approved USBs Group_1	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Approved USBs Group_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;0</InstancePathId>
		</DescriptorIdList>
	</Group>"
2	Device	windows\device\Group Policy\Block Read and Write access to specific file _Groups.xml	gpo	Block Read and Write access to specific file _Groups_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Block Read and Write access to specific file _Groups_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
3	File	windows\device\Group Policy\Block Read and Write access to specific file _Groups.xml	gpo	Block Read and Write access to specific file _Groups_2	{e5f619a7-5c58-4927-90cd-75da2348a30f}	MatchAny	"	<Group Id=""{e5f619a7-5c58-4927-90cd-75da2348a30f}"" Type=""File"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Be5f619a7-5c58-4927-90cd-75da2348a30f%7D/GroupData -->
		<Name>Block Read and Write access to specific file _Groups_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PathId>*.exe</PathId>
			<PathId>*.dll</PathId>
		</DescriptorIdList>
	</Group>"
4	Device	windows\device\Group Policy\Demo_2_Groups.xml	gpo	Demo_2_Groups_1	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Demo_2_Groups_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
5	Device	windows\device\Group Policy\Demo_2_Groups.xml	gpo	Demo_2_Groups_2	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Demo_2_Groups_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;*</InstancePathId>
		</DescriptorIdList>
	</Group>"
6	File	windows\device\Group Policy\Demo_2_Groups.xml	gpo	Demo_2_Groups_3	{e5f619a7-5c58-4927-90cd-75da2348a30f}	MatchAny	"	<Group Id=""{e5f619a7-5c58-4927-90cd-75da2348a30f}"" Type=""File"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Be5f619a7-5c58-4927-90cd-75da2348a30f%7D/GroupData -->
		<Name>Demo_2_Groups_3</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PathId>*.exe</PathId>
			<PathId>*.dll</PathId>
		</DescriptorIdList>
	</Group>"
7	Device	windows\device\Group Policy\Demo_Groups.xml	gpo	Demo_Groups_1	{65fa649a-a111-4912-9294-fb6337a25038}	MatchAny	"	<Group Id=""{65fa649a-a111-4912-9294-fb6337a25038}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B65fa649a-a111-4912-9294-fb6337a25038%7D/GroupData -->
		<Name>Demo_Groups_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<InstancePathId>USBSTOR\DISK&amp;VEN__USB&amp;PROD__SANDISK_3.2GEN1&amp;REV_1.00\03003324080520232521&amp;*</InstancePathId>
		</DescriptorIdList>
	</Group>"
8	Device	windows\device\Group Policy\Demo_Groups.xml	gpo	Demo_Groups_2	{9b28fae8-72f7-4267-a1a5-685f747a7146}	MatchAny	"	<Group Id=""{9b28fae8-72f7-4267-a1a5-685f747a7146}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7B9b28fae8-72f7-4267-a1a5-685f747a7146%7D/GroupData -->
		<Name>Demo_Groups_2</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
		</DescriptorIdList>
	</Group>"
9	Device	windows\device\Group Policy\Mass_storage_groups_GPO_2.xml	gpo	Mass_storage_groups_GPO_2_1	{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}	MatchAny	"	<Group Id=""{fb4ad01e-f41a-46c6-9ac1-268efa0ea083}"" Type=""Device"">
		<!-- ./Vendor/MSFT/Defender/Configuration/DeviceControl/PolicyGroups/%7Bfb4ad01e-f41a-46c6-9ac1-268efa0ea083%7D/GroupData -->
		<Name>Mass_storage_groups_GPO_2_1</Name>
		<MatchType>MatchAny</MatchType>
		<DescriptorIdList>
			<PrimaryId>RemovableMediaDevices</PrimaryId>
			<PrimaryId>CdRomDevices</PrimaryId>
			<PrimaryId>WpdDevices</PrimaryId>
			<FriendlyNameId>SDHC*</FriendlyNameId>
			<FriendlyNameId>SDXC*</FriendlyNameId>
			<DeviceId>USBSTOR\CDROM&amp;VEN_KINGSTON&amp;PROD_DTLOCKER+G3</DeviceId>
			<VID_PID>0951_169D</VID_PID>
			<VID_PID>2009_16AF</VID_PID>
			<VID_PID>1908_0226</VID_PID>
		</DescriptorIdList>
	</Group>"
